"SURVEY_YEAR","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,9076.033101974063858900771780297379505734,0.5241230281962699228479358473803073950474,9323.637588695813630009109326187569593881,60896.3926493914605636996522144042646714,0.2897189177836549982119633146578499626867,34579.9604716080255872208212887851406166,69972.4257513655244226004239947016441773,0.2919871095269489191583144761324868750654,40044.8508297913221420232730842109956394
1976,13120.3049248087759232733934902301579095,0.5714505758202907946206857816617865923916,14695.307376270753352922135844304069028,64027.4825251727794326980337199375847189,0.2035135430085512657183077527357529867313,25539.7012444873894898718125469490216355,77147.7874499815553559714272101677426286,0.2062082772709904848584264020689087616982,31180.6841968453036155782169129236858808
1977,6409.721132979807643665747572002664545114,0.2171709620978709620124009161594244297118,2728.330398247429439088955694525877759031,172934.5229172785003886382059528696991665,0.1810157758836402217071089922084811676671,61355.5986121591244678435124878399481203,179344.2440502583080323039535248723637113,0.1788894849830706582962357341258421709885,62882.2869275445319874506025110819817879
1978,3795.174422576608868955705664760435560154,0.4942648203319333275929829491175918634852,3676.609560042225731664596653696961410253,198287.6634235208367119249240007051766104,0.2085227072031891724810523923010333379536,81041.0615488520228291523185136804380171,202082.8378460974455808806296654656121711,0.2056365729275457373174705726145313883762,81449.0195554030575480933210783339169775
1979,5357.285507209041632314304930801518354673,0.3251085521929876269317160935540489964782,3413.730696469085530313881358645734390783,104089.0459438498732909741147964586766308,0.2392643901636875967151199466251971999736,48813.4121169315879205429794599607848804,109446.3314510589149232884197272601949856,0.2297685287441028091057622430858933749069,49288.7522057404978604187950117166061377
1980,13491.3856570450953236875786096644624562,0.5577681030597172110511562869779143825954,14749.1265877311538844513250932289237738,97478.7624838568446530561540414208149064,0.2417970538997735768018102714777470213469,46197.3520693290253908714768180936729238,110970.1481409019399767437326510852773624,0.2588903839696569299195673686176831360818,56309.0443522809161554955648331318460502
1981,6985.124742817529466944390725897586009678,0.2509907006369411074700981373148528423682,3436.27465234296137406452302961296360079,126125.6572850750597618032194111588619999,0.2116085697159613372593351758742715196863,52310.9690874572953043864347491383622151,133110.78202789258922874761013705644801,0.2081197576138175514586712619030921610937,54297.8480352041860914154982977440049187
1982,27527.2945807807977341445858050091454272,0.4153246726323716189549653250068820374626,22408.2186360265786381678581695207422955,120692.7705609642286323857936287925078309,0.2186763946791722324234444807967834731563,51729.6134630198984751813702615581523444,148220.0651417450263665303794338016532579,0.2250886121016982817201998106620070121068,65390.7915468222464808698682820870305462
1983,9664.573385835078993194408636068231884633,0.2562409225773248817881244893668912931629,4853.860033377176494590961727397831841152,14621.1242744374237765497069498912810501,0.1509477469995540971136480011059020837167,4325.770504940565651675904478476468445865,24285.6976602725027697441155859595129347,0.1701589366163745327517673294051294026773,8099.559838163138414945414734268515369512
1984,41540.3664184395697731381770807798341002,0.8113895850586859958146057523206619290696,66062.6245160291750057267326299475343583,23127.9074064069347752951047356540184748,0.3512161477078543913189789913795042697456,15920.8733058915072283865549533916795374,64668.2738248465045484332818164338525743,0.6189100321435589171056930846405187523959,78446.7331259442709776348428751366497476
